Package                                                                        Current                               Wanted         Latest  Location                                                                                      Depended by
@turf/along                                                                      6.5.0                                6.5.0          7.1.0  node_modules/@turf/along                                                                      @turf/turf
@turf/angle                                                                      6.5.0                                6.5.0          7.1.0  node_modules/@turf/angle                                                                      @turf/turf
@turf/area                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/area                                                                       @turf/isobands
@turf/area                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/area                                                                       @turf/turf
@turf/area                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/area                                                                       @turf/unkink-polygon
@turf/bbox                                                                       6.5.0                                7.1.0          7.1.0  node_modules/@turf/bbox                                                                       geojson-rbush
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/boolean-contains
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/center-mean
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/center
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/buffer
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/boolean-within
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/collect
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/envelope
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/interpolate
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/isobands
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/isolines
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/line-split
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/line-to-polygon
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/polygon-tangents
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/shortest-path
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/transform-scale
@turf/bbox                                                                       6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox                                                                       @turf/turf
@turf/bbox-clip                                                                  6.5.0                                6.5.0          7.1.0  node_modules/@turf/bbox-clip                                                                  @turf/turf
